Authors,Year,Paper,Country,MDS,Data Source Primary,Data Source Secondary,Algorithm,Task,Cross Validation,Performance Metric,Sample Size,Dataset,Goal,Abstract,Person,Notes,Wearable Location
Naghavi et al.,2019,Improving Machine Learning Based Detection of Freezing of Gait Using Data Synthesis Methods,United States,FoG,,"Wearable, Accelerometer",ADASYN,Walking,LOOCV,"F1-Score, Sensitivity, Specificity","9 PD, 9 FoG","Own Recruitment, ADASYN",Classification: Better classify and predict FoG epsidoes,"Freezing of gait (FoG) is a common type of
motor impairment in Parkinson's disease (PD) associated with
falls. Pharmacologic treatments have failed to prevent FoG,
resulting in a need for the development of non-pharmaceutical
interventions. This study aims to use the ADAptive SYNthetic
(ADASYN) sampling algorithm to improve the automatic detec-
tion of FoG episodes in people with PD. Eighteen PD patients
performed a series of daily walking tasks in a lab environment,
with nine experiencing FoG. We trained and evaluated different
classi?ers using signals collected from wearable accelerometers
placed on the patients� ankles. The low ratio of FoG labeled
data compared with normal gait created an imbalanced dataset.
The analysis of results revealed that the sensitivity of the SVM
model to FoG could be improved from 91.9% to 96.5% by
creating new synthesized FoG instances near the boundaries
of two classes (normal gait and FoG). The SVM model can
detect FoG events with an average sensitivity and speci?city
of 91.5% and 95.2% trained by the original dataset, and
95.8% and 95.0% trained by synthesized balanced dataset in
patient-dependent models. Also, ADASYN slightly improved
the average F-score of patient-dependent models from 90.6% to
91.2%, while reducing patient-independent model performance
from 83.4% to 79.8%",NC,,Ankles
Matchen et al.,2021,Leveraging deep learning to control neural oscillators,United States,PD,,STN Neuron Model,ANN,NA,70/30,MSE,NA,,Develop a NN to predict stimuli effects on neural oscillators and their impacts on TD and PS,"Modulation of the firing times of neural oscillators has long been an important control objective, with applications including
Parkinson's disease, Tourette�s syndrome, epilepsy, and learning. One common goal for such modulation is desynchronization,
wherein two or more oscillators are stimulated to transition from firing in phase with each other to firing out of phase. The
optimization of such stimuli has been well studied, but this typically relies on either a reduction of the dimensionality of
the system or complete knowledge of the parameters and state of the system. This limits the applicability of results to real
problems in neural control. Here, we present a trained artificial neural network capable of accurately estimating the effects of
square-wave stimuli on neurons using minimal output information from the neuron.We then apply the results of this network
to solve several related control problems in desynchronization, including desynchronizing pairs of neurons and achieving
clustered subpopulations of neurons in the presence of coupling and noise.",NC,,
Prado et al.,2020,"Identification of Freezing of Gait in Parkinson�s Patients Using
Instrumented Shoes and Artificial Neural Networks",United States,FoG,,"Wearable, Barometer, Accelerometer",ANN,Walking,75/25,"Sensitivity, Specificity, Precision, Accuracy, False Positives, False Negatives",10 PD,Own Recruitment,Detection of Freezing of Gait (FoG) episodes in Parkinson�s patients using signals from instrumented shoes,"Freezing of gait is an episodic phenomena faced by
many patients with Parkinson�s disease. It is characterized by
episodes during which patients are unable to generate effective
forward stepping movements, despite absence of motor deficits.
It has been postulated that the degree of freezing can be reduced
by providing external sensory feedback to the patients during
the event. However, this intervention could be facilitated by
accurate identification of freezing events in real-time.
This manuscript presents an Artificial Neural Network model
which uses signals recorded by an instrumented footwear to
predict if a walking subject is having a freezing episode.
Our model presented in this paper is capable of continuously
predicting freezing of gait events at a high temporal resolution
of 50 Hz, using a 0.5 second window of data recorded by
the instrumented shoes, with a sensitivity of 96:0  2:5%, a
specificity of 99:6  0:3%, a precision of 89:5  5:9%, and
an accuracy of 99:5  0:4%. This algorithm was tested with
data collected from 10 patients with Parkinson�s disease with
frequent freezing of gait episodes.",NC,,Feet
Reyes et al.,2024,Comparative Analysis of Neural Networks and Data Processing Techniques for Parkinson's Gait Classification,Ecuador,PD,,VGRF,ANN ,Gait analysis for different Hoehn and Yahr (HY) stages,NA,"Accuracy, AUC, Sensitivity, Specificity","92 PD, 74 Patient",GaitPDB,"Utilize neural networks with advanced data processing techniques to classify gait patterns and stages of Parkinson's disease, enabling better diagnostics and treatment monitoring.","Parkinson's disease (PD) is an advancing neurodegenerative condition characterized by motor symptoms, including disturbances in gait and varying degrees of severity, typically assessed using the Hoehn and Yahr stages. Precise classification of PD gait patterns and severity levels is of paramount importance for efficient diagnosis and continuous treatment monitoring. This research article presents a comprehensive assessment of the performance of three distinct Artificial Neural Network (ANN) models integrated with diverse data processing techniques, encompassing segmentation, filtration, and noise reduction, in the context of classifying PD severity. The classification is based on the vertical ground reaction force (VGRF) measurements obtained from both healthy individuals and those afflicted by Parkinson's disease, sourced from a well-established database (GaitPDB, Physio Net). The study provides a comparative analysis of the efficacy of these models in accurately discriminating between various gait patterns and stages of disease severity, underscoring their potential to enhance clinical decision-making and patient care. Additionally, the study offers valuable insights into the impact of data processing methodologies on classification performance.",IC,,
Oku et al,2024,Video-based diagnosis support system for pianists with Musician�s dystonia,Japan,Dystonia,,Video,Auto Encoder Anamoly Detection,Pianistic tasks,80/20,"Sensitivity, Specificity","16 Dystonia, 20 Control",Own Recruitment,Develop ML algorithm to detect focal dystonia in pianists using video footage,"Background: Musician�s dystonia is a task-specific movement disorder that
deteriorates fine motor control of skilled movements in musical performance.
Although this disorder threatens professional careers, its diagnosis is challenging
for clinicians who have no specialized knowledge of musical performance.
Objectives: To support diagnostic evaluation, the present study proposes
a novel approach using a machine learning-based algorithm to identify the
symptomatic movements of Musician�s dystonia.
Methods: We propose an algorithm that identifies the dystonic movements
using the anomaly detection method with an autoencoder trained with the hand
kinematics of healthy pianists. A unique feature of the algorithm is that it requires
only the video image of the hand, which can be derived by a commercially
available camera. We also measured the hand biomechanical functions to
assess the contribution of peripheral factors and improve the identification of
dystonic symptoms.
Results: The proposed algorithm successfully identified Musician�s dystonia with
an accuracy and specificity of 90% based only on video footages of the hands.
In addition, we identified the degradation of biomechanical functions involved
in controlling multiple fingers, which is not specific to musical performance. By
contrast, there were no dystonia-specific malfunctions of hand biomechanics,
including the strength and agility of individual digits",NC,,
Guo et al.,2022,A Self-Supervised Metric Learning Framework for the Arising-From-Chair Assessment of Parkinsonians With Graph Convolutional Networks,China,PD,,Video,CGN,Arising from chair,5-fold,"Accuracy, AUC, F1-Score, Precision, Recall","186 PD, 517 Videos",Own Recruitment,Develop an automated method for assessing rising-from-chair tasks in PD patients using videos.,"The onset and progression of Parkinson's
disease (PD) gradually affect the patient�s motor functions and
quality of life. The PD motor symptoms are usually assessed using
the Movement Disorder Society-sponsored revision of the Unified
Parkinson's Disease Rating Scale (MDS-UPDRS). Automated
MDS-UPDRS assessment has been recently required as an
invaluable tool for PD diagnosis and telemedicine, especially with
the recent novel coronavirus pandemic outbreak. This paper proposes
a novel vision-based method for automated assessment of
the arising-from-chair task, which is one of the key MDS-UPDRS
components. The proposed method is based on a self-supervised
metric learning scheme with a graph convolutional network
(SSM-GCN). Specifically, for human skeleton sequences extracted
from videos, a self-supervised intra-video quadruplet learning
strategy is proposed to construct a metric learning formulation
with prior knowledge, for improving the spatial-temporal representations.
Afterwards, a vertex-specific convolution operation
is designed to achieve effective aggregation of all skeletal joint
features, where each joint or feature is weighted differently
based on its relative factor of importance. Finally, a graph
representation supervised mechanism is developed to maximize
the potential consistency between the joint and bone information
streams. Experimental results on a clinical dataset demonstrate
the superiority of the proposed method over the existing sensorbased
methods, with an accuracy of 70.60% and an acceptable
accuracy of 98.65%. The analysis of discriminative spatial
connections makes our predictions more clinically interpretable.
This method can achieve reliable automated PD assessment
using only easily-obtainable videos, thus providing an effective
tool for real-time PD diagnosis or remote continuous monitoring.",NC,,
Vu et al.,2022,From Null to Midline: Changes in Head Posture do Not Predictably Change Head Tremor in Cervical Dystonia,United States,Cervical Dystonia,,Video,CMOR,Head Movement,NA,N/A,80 Dystonia,Dystonia Coalition,Quantify head tremor using computer vision when participants change head postures,"Introduction: Acommon view is that head tremor (HT) in cervical dystonia (CD) decreases
when the head assumes an unopposed dystonic posture and increases when the head is
held at midline. However, this has not been examined with objective measures in a large,
multicenter cohort.
Methods: For 80 participants with CD and HT, we analyzed videos from examination
segments in which participants were instructed to 1) let their head drift to its most
comfortable position (null point) and then 2) hold their head straight at midline. We
used our previously developed Computational Motor Objective Rater (CMOR) to
quantify changes in severity, amplitude, and frequency between the two postures.
Results: Although up to 9% of participants had exacerbated HT in midline, across the
whole cohort, paired t-tests reveal no signi?cant changes in overall severity (t = ?0.23, p =
0.81), amplitude (t = ?0.80, p = 0.43), and frequency (t = 1.48, p = 0.14) between the two
postures.
Conclusion: When instructed to ?rst let their head drift to its null point and then to hold
their head straight at midline, most patient�s changes in HTwere below the thresholds one
would expect from the sensitivity of clinical rating scales. Counter to common clinical
impression, CMOR objectively showed that HT does not consistently increase at midline
posture in comparison to the null posture.",NC,,
Vu et al.,2022,Head tremor in cervical dystonia: Quantifying severity with computer vision,United States,Cervical Dystonia,,Video,CMOR,Head Movement,NA,"RMSE, SC",93 Dystonia,Own Recruitment,Validate and develop CMOR to measure head tremor severity using computer vision in CD,"Background: Head tremor (HT) is a common feature of cervical dystonia (CD), usually quantified by subjective
observation. Technological developments offer alternatives for measuring HT severity that are objective and
amenable to automation.
Objectives: Our objectives were to develop CMOR (Computational Motor Objective Rater; a computer vision-
based software system) to quantify oscillatory and directional aspects of HT from video recordings during a
clinical examination and to test its convergent validity with clinical rating scales.
Methods: For 93 participants with isolated CD and HT enrolled by the Dystonia Coalition, we analyzed video
recordings from an examination segment in which participants were instructed to let their head drift to its most
comfortable dystonic position. We evaluated peak power, frequency, and directional dominance, and used
Spearman�s correlation to measure the agreement between CMOR and clinical ratings.
Results: Power averaged 0.90 (SD 1.80) deg2/Hz, and peak frequency 1.95 (SD 0.94) Hz. The dominant HT axis
was pitch (antero/retrocollis) for 50%, roll (laterocollis) for 6%, and yaw (torticollis) for 44% of participants.
One-sided t-tests showed substantial contributions from the secondary (t = 18.17, p < 0.0001) and tertiary (t =
12.89, p < 0.0001) HT axes. CMOR�s HT severity measure positively correlated with the HT item on the Toronto
Western Spasmodic Torticollis Rating Scale-2 (Spearman�s rho = 0.54, p < 0.001).
Conclusions: We demonstrate a new objective method to measure HT severity that requires only conventional
video recordings, quantifies the complexities of HT in CD, and exhibits convergent validity with clinical severity
ratings.",NC,,
Zhang et al.,2022,Hold that pose: capturing cervical dystonia�s head deviation severity from video,United States,Cervical Dystonia,,Video,CMOR,Head Movement,NA,SC,185 Dystonia,Own Recruitment,Develop and validate CMOR using video recordings and head posture to measure cervical dystonia,"Objective: Deviated head posture is a defining characteristic of cervical dystonia
(CD). Head posture severity is typically quantified with clinical rating scales
such as the Toronto Western Spasmodic Torticollis Rating Scale (TWSTRS).
Because clinical rating scales are inherently subjective, they are susceptible to
variability that reduces their sensitivity as outcome measures. The variability
could be circumvented with methods to measure CD head posture objectively.
However, previously used objective methods require specialized equipment and
have been limited to studies with a small number of cases. The objective of this
study was to evaluate a novel software system�the Computational Motor
Objective Rater (CMOR)�to quantify multi-axis directionality and severity of
head posture in CD using only conventional video camera recordings. Methods:
CMOR is based on computer vision and machine learning technology that captures
3D head angle from video. We used CMOR to quantify the axial patterns
and severity of predominant head posture in a retrospective, cross-sectional
study of 185 patients with isolated CD recruited from 10 sites in the Dystonia
Coalition. Results: The predominant head posture involved more than one axis
in 80.5% of patients and all three axes in 44.4%. CMOR�s metrics for head posture
severity correlated with severity ratings from movement disorders neurologists
using both the TWSTRS-2 and an adapted version of the Global Dystonia
Rating Scale (rho = 0.59�0.68, all p <0.001). Conclusions: CMOR�s convergent
validity with clinical rating scales and reliance upon only conventional video
recordings supports its future potential for large scale multisite clinical trials.",NC,,
Saltos et al.,2023,Detecting Parkinson's Disease with Convolutional Neural Networks: Voice Analysis and Deep Learning,Ecuador,PD ,,Speech,CNN,Vocal analysis focused on vocal pitch changes and alterations in Parkinson's patients,NA,Accuracy,779 Voice Recordings,Synapse platform,"To develop a CNN-based method for detecting Parkinson's Disease using voice data, providing a non-invasive, affordable, and accessible screening tool?","Parkinson's disease, the second most prevalent neurodegenerative disorder among individuals over the age of 65, poses challenges in early-stage detection, often requiring multiple tests to confirm diagnosis. However, advancements in neural network technology have facilitated the analysis, simplification, and prediction of complex problems that surpass human capacity in terms of speed and efficiency. With its diverse array of physical symptoms, this study specifically focuses on vocal pitch changes and alterations, as they manifest in approximately 90% of Parkinson's patients. Furthermore, the acquisition of vocal data is non-invasive and easily accessible. In this study, we employ a convolutional neural network (CNN) to assess the predictive accuracy of Parkinson's disease using voice data from affected individuals. Our results demonstrate promising accuracy, achieving a classification accuracy of 95%. By training our CNN model, we aim to provide an affordable and convenient solution for detecting this neurodegenerative condition.",IC,,
Setiawan et al.,2021,Implementation of a Deep Learning Algorithm Based on Vertical Ground Reaction Force Time�Frequency Features for the Detection and Severity Classification of Parkinson's Disease,Taiwan,PD,,vGRF,CNN,Gait analysis involving foot force signals during walking,10-fold,"Accuracy, AUC, Sensitivity, Specificity","93 PD, 73 Control",PhysioNet,To develop a deep learning-based method for detecting Parkinson's Disease and classifying its severity based on gait analysis using vertical ground reaction force signals,"Conventional approaches to diagnosing Parkinson's disease (PD) and rating its severity level are based on medical specialists� clinical assessment of symptoms, which are subjective and can be inaccurate. These techniques are not very reliable, particularly in the early stages of the dis-ease. A novel detection and severity classification algorithm using deep learning approaches was developed in this research to classify the PD severity level based on vertical ground reaction force (vGRF) signals. Different variations in force patterns generated by the irregularity in vGRF signals due to the gait abnormalities of PD patients can indicate their severity. The main purpose of this research is to aid physicians in detecting early stages of PD, planning efficient treatment, and monitoring disease progression. The detection algorithm comprises preprocessing, feature transfor-mation, and classification processes. In preprocessing, the vGRF signal is divided into 10, 15, and 30 s successive time windows. In the feature transformation process, the time domain vGRF signal in windows with varying time lengths is modified into a time�frequency spectrogram using a continuous wavelet transform (CWT). Then, principal component analysis (PCA) is used for feature enhancement. Finally, different types of convolutional neural networks (CNNs) are employed as deep learning classifiers for classification. The algorithm performance was evaluated using k-fold cross-validation (kfoldCV). The best average accuracy of the proposed detection algorithm in clas-sifying the PD severity stage classification was 96.52% using ResNet-50 with vGRF data from the PhysioNet database. The proposed detection algorithm can effectively differentiate gait patterns based on time�frequency spectrograms of vGRF signals associated with different PD severity levels.",IC,,
Kim et al.,2018,Wrist sensor-based tremor severity quantification in Parkinson's disease using convolutional neural network,South Korea,PD,,"Accelerometer, Gyroscope",CNN,"Tremor assessment while resting, with patients seated and sensors mounted on both wrists and hands",10-fold,"Accuracy, Correlation, Linear Weighted Kappa, RMSE","92 PD, 95 Control",Own Recruitment,"To develop a CNN-based system for estimating tremor severity in Parkinson's disease patients using wrist-worn wearable devices, automating the process of symptom severity classification","Tremor is a commonly observed symptom in patients of Parkinson's disease (PD), and accurate measurement of tremor severity is essential in prescribing appropriate treatment to relieve its symptoms. We propose a tremor assessment system based on the use of a convolutional neural network (CNN) to differentiate the severity of symptoms as measured in data collected from a wearable device. Tremor signals were recorded from 92 PD patients using a custom-developed device (SNUMAP) equipped with an accelerometer and gyroscope mounted on a wrist module. Neurologists assessed the tremor symptoms on the Unified Parkinson's Disease Rating Scale (UPDRS) from simultaneously recorded video footages. The measured data were transformed into the frequency domain and used to construct a two-dimensional image for training the network, and the CNN model was trained by convolving tremor signal images with kernels. The proposed CNN architecture was compared to previously studied machine learning algorithms and found to outperform them (accuracy = 0.85, linear weighted kappa = 0.85). More precise monitoring of PD tremor symptoms in daily life could be possible using our proposed method.",IC,,
Li et al.,2022,An Automatic Evaluation Method for Parkinson's Dyskinesia Using Finger Tapping Video for Small Samples,China,Dyskinesia,,Video,CNN,Finger tapping,5-fold,"Accuracy, F1-Score, Precision, Recall","93 Dyskinesia, 27 Control, 252 Video Samples",Own Recruitment,Use DL to anaylze fingerr tapping videos for early screening of Dyskensia using CNN,"Purpose The assessment of dyskinesia in Parkinson's disease (PD) based on Artificial Intelligence technology is a signifi-
cant and challenging task. Based on the representative action of finger tapping, this paper designs an automatic evaluation
method by deep learning technology to provide big data screening and preliminary evaluation for potential patients with PD.
Presently, doctors use the Movement Disorder Society-Sponsored Revision of the Unified Parkinson's Disease Rating Scale
(MDS-UPDRS) to assess the severity of patients. This method is time-consuming and laborious, and there are subjective
differences. The evaluation method based on sensor equipment is also widely used, but it is expensive and needs professional
guidance, which is not suitable for remote evaluation and patient self-examination. Additionally, it is difficult to collect
patient data for medical research, so it is important to find an objective and automatic assessment method for Parkinson's
dyskinesia based on small samples.
Methods In this study, we designed an automatic evaluation method combining manual features and convolutional neural
network (CNN) suitable for small sample classification. Based on the finger tapping video of Parkinson's patients, we used
the pose estimation model to obtain the action skeleton information and calculated the feature data. We then use the 5-folds
cross validation training model to achieve an optimum trade-off between bias and variance, and finally make a multi-class
prediction through fully connected network (FCN).
Results Our proposed method achieves the current optimal accuracy of 79.7% in this research. We have compared with
the latest methods of related research, and our method is superior to them in terms of accuracy, number of parameters and
floating point operations (FLOPs).
Conclusion The proposed method does not require patients to wear sensor devices and has clear advantages in providing
early screening and remote clinical evaluation for patients with PD. Simultaneously, the proposed method using motion
feature data to train the CNN model obtains the optimal accuracy, effectively solves the problem of limited data acquisition
in medicine and provides a novice proposal for a small sample size classification",NC,,
